,sentence
795,Every (heir of the) borrower is obliged to the death of (one of) the account holder(s) of the Savings Account SpaarGerust to be notified as soon as possible obvion.
796,"If (one of) the account holder(s) of the Savings Account SpaarGerust dies, part of the loan portion of the SpaarGerust mortgage is due and payable."
797,That part must then be refunded as soon as possible.
798,In the agreement of the Bank Savings Account SpaarGerust states what amount is used for repayment of the loan part of the loan SpaarGerust mortgage in the event of the death of the relevant account holder.
799,Do you want to make additional repayments on the loan component?
800,Then contact Obvion.
801,"For the to determine any compensation to be paid by you, Obvion refers to article 22 of these Terms and Conditions."
802,Ask your intermediary about the tax rules that apply to this type of mortgage  and its consequences.
803,The loan portion must be in Obvion at the end of the term of the loan portion  refunded.
804, The following provisions apply to Savings-Based Mortgages for which between 6 June 2007 and 1 October 2012 a quote has been requested.
805,Obvion no longer provides new savings mortgages.
806,The Savings Mortgage consists of a loan component and a pledge to be pledged to Obvion  savings mortgage insurance.
807,The term of this mortgage savings insurance is equal to the term of the loan component  of the Savings Mortgage.
808,This insurance is taken out with the insurer stated in the offer.
809,Obvion has  selected this insurer.
810,See also Explanation of the General Terms and Conditions on obvion.
811,You have the conditions for the insurance together with the offer for the loan receive.
812,You pay the premiums owed to the insurer.
813,A fixed-interest period of one month is not possible with the Spaarhypotheek.
814,Do you want to make additional repayments on the loan component?
815,Then contact Obvion.
816,"For the to determine any compensation to be paid by you, Obvion refers to article 22 of these Terms and Conditions."
817,Ask your intermediary about the tax rules that apply to this type of mortgage  and its consequences.
818,The loan portion must be in Obvion at the end of the term of the loan portion  refunded.
819," The following provisions apply to Savings Mortgages for which an offer has been submitted before June 6, 2007 requested."
820,Obvion no longer provides new savings mortgages.
821,The Savings Mortgage consists of a loan component and a pledge to be pledged to Obvion  savings mortgage insurance.
822,The term of this mortgage savings insurance is equal to the term of the loan component  of the Savings Mortgage.
823,This savings mortgage insurance is taken out with the insurer stated in the offer  mention.
824,Obvion has selected this insurer.
825,See also “Explanation of the General Conditions” on obvion.nl.
826,You have agreed the conditions for the insurance together with receive the loan offer.
827,You pay the premiums owed to the insurer.
828,A fixed-interest period of one month is not possible with the Spaarhypotheek.
829,Do you want to make additional repayments on the loan component?
830,Then contact Obvion.
831,"For the to determine any compensation to be paid by you, Obvion refers to article 22 of these Terms and Conditions."
832,Ask your intermediary about the tax rules that apply to this type of mortgage  and its consequences.
833,The loan portion must be in Obvion at the end of the term of the loan portion  refunded.
834, The following provisions apply to SpaarGarant mortgages for which before 1 October 2010 a quote has been requested.
835,Obvion no longer provides new SpaarGarant mortgages.
836,The SpaarGarant mortgage consists of a loan component and the SpaarGarant insurance.
837,The  Savings Guarantee insurance must be pledged to Obvion.
838,The term of this Savings Guarantee Insurance is equal to the term of the loan component  of the SpaarGaranthypotheek.
839,The SpaarGarant insurance is taken out with the insurer stated in the offer.
840, See also “Explanation of the General Terms and Conditions” on obvion.nl.
841,The conditions for the You have received insurance together with the quote for the loan.
842,A fixed-interest period of one month is not possible with the SpaarGaranthypotheek.
843,Do you want to make additional repayments on the loan component?
844,Then contact Obvion.
845,"For the to determine any compensation to be paid by you, Obvion refers to article 22 of these Terms and Conditions."
846,Ask your intermediary about the tax rules that apply to this type of mortgage  and its consequences.
847,The loan portion must be in Obvion at the end of the term of the loan portion  refunded.
848,A Life Mortgage consists of a loan component and a capital or  mixed life insurance.
849,This insurance must be pledged to Obvion.
850,The term of this life insurance policy is equal to the term of the loan part of the  life mortgage.
851,You may choose with which insurer established in the Netherlands you take out this insurance.
852, You pay the premiums owed to the insurer of your choice.
853,"Before the loan is provided, the insurer must confirm to Obvion that the insurance application has been accepted."
854,Or send the policy to Obvion.
855,"Instead of a life insurance policy, an investment account may also be pledged to Obvion  turn into."
856,This as security for the repayment of the loan.
857,You may only maintain an investment account with an institution listed in the  “Explanation of the General Terms and Conditions” on obvion.nl.
858,Ask your intermediary about the tax rules that apply to this type of mortgage  and its consequences.
859,The loan portion must be in Obvion at the end of the term of the loan portion  refunded.
860, Obvion no longer provides new Switch mortgages.
861,The Switch mortgage consists of a loan component and a switch insurance.
862,the switch-  insurance must be pledged to Obvion.
863,The term of this switch insurance is equal to the term of the loan part of the  Switch mortgage.
864,The switch insurance is taken out with the insurer stated in the quotation.
865, See also “Explanation of the General Terms and Conditions” on obvion.nl.
866,The conditions for the You have received insurance together with the quote for the loan.
867,A fixed-interest period of one month is not possible with the Switch mortgage.
868,5. Ask your intermediary about the tax rules that apply to this type of mortgage  and its consequences.
869,The loan portion must be in Obvion at the end of the term of the loan portion  refunded
870,"The Interest-only mortgage is a type of mortgage whereby you, during the term of the  loan component only pays interest."
871,You must repay this loan component to Obvion at the end of the term.
872,For example  with your savings.
873,Or with the proceeds from the sale of your home.
874,Ask your intermediary about the tax rules that apply to this type of mortgage  and its consequences.
875,"If a life insurance policy has been taken out that has been pledged to Obvion, an instruction to  payment of the insurance must be signed."
876," This distribution order is intended to strengthen the inheritance law position of the  payee, who signs the payment order."
877,This compared to the (other) heirs if the insured dies.
878, Signing this payment order may have legal and tax consequences.
879," For example, for the payment of inheritance tax."
880, These consequences are related to the personal situation of the beneficiary and of the insured.
881,"For example, in the case of prenuptial agreements, partnership conditions or a will."
882, The beneficiary is responsible for checking what these consequences (may) to be.
883,Obvion is not liable for this.
884,The beneficiary must therefore signing the payment instruction request advice from a civil-law notary or a financial officer (tax) advisor.
885,"Your personal circumstances, the use of the financing, the use of the  collateral, changes in laws and regulations and the explanation thereof may have an influence on the tax treatment of the loan and the related products."
886,Obvion is not liable for the tax treatment.
887,Not even if you have a tax benefit goes wrong.
888,"If facts or circumstances arise that could have consequences for the tax treatment, you must ask for advice from experts yourself."
889," For the processing of personal data, reference is made to the Privacy Statement of obvion."
890," The relationship between Obvion and the borrower is governed by Dutch law, unless mandatory law determines otherwise or has agreed otherwise."
